"no stimulus","10 min","15 min","30 min","1h","no stimulus","10 min","15 min","30 min","1h",
0.9750,5.2394,7.8660,1.3114,1.5720,493.7900,517.1328,540.0267,591.2013,336.6750,1.0000
0.7399,4.1066,7.7103,2.1967,3.9701,222.6544,721.3823,938.2010,468.2027,436.3308,1.0000
0.7368,3.2212,1.0623,0.6694,6.0523,169.6842,555.2893,422.4149,1089.0314,553.4937,1.0000
0.7082,1.1462,1.1399,0.7091,1.7398,1364.2071,526.1108,369.8936,538.6800,535.5377,1.0000
0.7044,4.9587,1.6723,0.8558,1.1042,456.5313,797.6953,419.2726,785.1261,642.3759,1.0000
0.8146,1.6230,2.5686,0.8430,0.9199,478.0785,515.3372,232.9791,733.5026,489.7499,1.0000
0.7871,1.9079,2.0242,0.8398,1.0345,579.0810,164.2974,352.8354,803.0821,755.9476,1.0000
0.6801,1.3400,1.4080,2.0989,0.9342,319.6168,584.9167,502.7680,452.0423,782.8816,1.0000
0.7046,1.4704,1.2068,1.5573,1.0578,1182.4026,331.2882,1231.3327,358.6711,362.2623,1.0000
1.6002,1.4285,2.1303,0.6567,1.7311,786.0239,269.3400,371.6892,687.2659,939.5477,1.0000
0.7980,1.0677,1.0343,1.3355,5.0502,1364.2071,156.2172,585.8145,609.1573,637.8869,1.0000
0.6874,2.9532,4.4975,1.2750,2.2638,772.1080,180.9067,210.5341,728.5647,706.5686,1.0000
0.7718,4.0705,0.7810,8.0052,1.9054,619.9309,530.5998,549.4536,420.6193,310.1899,1.0000
0.7782,2.0185,0.9154,5.1627,0.9521,839.8919,865.4792,897.8000,720.9334,717.7911,1.0000
0.9257,5.1336,0.7589,0.8583,1.9435,902.2890,1225.9459,619.4820,777.0459,452.4912,1.0000
0.8208,1.2764,0.8427,0.7605,4.0534,255.4241,399.0721,901.3912,720.0356,509.9504,1.0000
0.7720,2.6889,4.3766,0.6670,3.3325,463.2648,320.9635,499.6257,1047.7326,747.8674,1.0000
0.7585,1.6070,1.2988,1.6833,2.8840,281.0114,496.9323,314.6789,531.9465,709.7109,1.0000
0.8189,4.1198,0.8605,3.8745,1.0085,561.5739,373.4848,863.6836,1102.4984,801.7354,1.0000
0.8257,1.1097,0.8449,1.1833,4.7886,798.5931,817.4469,858.7457,786.0239,922.0406,1.0000
0.8281,1.1799,0.7698,1.0097,3.9464,921.1428,492.8922,626.2155,822.8337,1035.6123,1.0000
0.6457,0.9010,0.8657,1.1234,8.3770,437.6775,730.3603,1034.2656,870.8660,1040.9991,1.0000
0.5932,1.5613,0.7875,0.5962,1.7194,402.6633,313.3322,1065.6886,674.2478,706.1197,1.0000
0.5340,4.8215,3.7782,0.7988,2.1110,475.8340,733.5026,1000.1492,834.5051,568.7563,1.0000
0.7863,2.6623,0.7244,1.1960,0.9683,1262.7557,354.1821,1062.9952,512.6438,641.9270,1.0000
0.6225,2.0569,3.3407,0.6990,1.6608,510.8482,531.4976,359.5689,1045.0392,263.9532,1.0000
0.6068,3.3270,4.9912,0.6459,1.6799,825.9760,861.4391,966.4817,1106.5385,171.9287,1.0000
0.7513,1.5657,2.5865,0.8431,1.2993,448.4511,198.4138,724.9735,791.4107,767.1701,1.0000
0.8220,3.8042,1.2083,0.7662,0.8572,463.7137,656.2918,734.4004,823.2826,465.0604,1.0000
0.7671,3.7995,1.3708,3.5342,0.9083,1120.0055,348.7953,542.2712,768.9657,951.2191,1.0000
0.7745,8.7188,1.1581,0.7845,1.1162,722.7290,448.0022,1170.2823,302.1097,577.2854,1.0000
0.6777,2.1300,1.5744,0.8336,1.9268,724.5246,712.4043,563.8184,552.5959,739.3383,1.0000
0.8870,7.6505,1.7702,2.9748,0.9343,956.1570,710.6087,482.5675,300.3141,552.5959,1.0000
0.5393,1.0976,3.4890,2.5574,0.9617,614.9930,866.3770,595.2414,779.2904,1020.7986,1.0000
0.6844,1.2149,1.8666,3.2961,9.5733,1050.4260,289.0916,277.8691,703.4263,1057.1595,1.0000
0.7799,1.1503,2.0150,2.3362,8.8359,453.8379,698.0395,162.5018,1041.4480,341.1640,1.0000
0.8537,2.1909,1.8396,0.9209,0.7760,571.4497,183.6001,1022.1453,838.5452,313.7811,1.0000
1.0406,1.1994,2.7952,2.3954,5.4080,793.6552,688.1637,188.0891,638.3358,158.9106,1.0000
0.9044,2.3552,7.1510,1.0689,1.1262,711.5065,869.9682,461.4692,653.5984,1102.0495,1.0000
