"no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF","no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF",
0.7710,0.8462,1.0073,2.1828,1.4868,4.7057,217.7165,760.4366,171.9287,590.7524,936.8543,359.1200,1.0000
0.7185,2.1302,0.7479,1.3902,5.0501,4.3749,190.7825,999.7003,265.2999,945.8323,1007.3316,661.2297,1.0000
1.4565,1.5112,0.7743,2.1603,1.3588,4.2136,248.2417,739.3383,153.0749,364.5068,820.1403,384.7073,1.0000
0.7990,1.2813,0.8315,8.8851,2.1764,1.1457,553.4937,970.5218,228.4901,755.4987,691.3060,1087.2358,1.0000
0.8779,2.6070,0.8624,0.9519,1.2277,2.3937,760.8855,837.1985,195.2715,573.2453,686.8170,354.6310,1.0000
1.6165,6.5659,0.8417,0.7828,2.2449,3.2988,995.2113,779.7393,293.1317,154.8705,1208.8877,672.4522,1.0000
2.8229,1.7471,0.7305,0.8599,4.1220,3.4842,392.7875,1396.5279,222.2055,276.9713,459.6736,341.6129,1.0000
2.8468,1.0172,0.8553,4.7845,3.1836,3.4080,229.8368,1049.0793,303.0075,658.5363,216.8187,357.3244,1.0000
1.4466,1.3195,1.7834,2.6819,4.9196,2.1743,588.5079,743.8273,598.3837,1172.5268,754.6009,301.2119,1.0000
1.1129,0.9785,0.8456,1.1569,1.8138,1.0421,456.0824,269.7889,343.4085,150.3815,755.4987,282.3581,1.0000
1.2918,1.0753,0.9092,5.4175,1.4061,1.2768,360.4667,421.0682,462.8159,312.8833,232.9791,439.4731,1.0000
1.1162,2.7484,1.1222,1.4340,0.9715,1.5614,898.6978,1207.9899,311.0877,572.3475,933.2631,214.1253,1.0000
0.9010,2.4042,3.2489,6.4767,0.8440,2.2872,955.2592,550.3514,222.2055,849.7677,349.2442,694.4483,1.0000
0.8622,1.1312,1.0751,4.4964,0.7924,7.3980,654.9451,946.7301,505.4614,751.0097,185.3957,816.5491,1.0000
0.9313,2.6399,1.3259,1.3439,1.8952,7.0749,191.6803,218.1654,800.8376,676.4923,174.6221,678.2879,1.0000
1.3144,2.4578,2.0849,1.5107,1.7431,12.2196,344.7552,1024.8387,312.4344,223.1033,1239.8618,520.2751,1.0000
3.3351,2.8108,4.5102,1.0998,0.9048,5.4663,185.3957,1076.4622,1200.3586,172.3776,464.6115,272.9312,1.0000
1.1403,1.4485,3.1355,9.0622,0.7388,1.1673,808.0200,685.9192,663.9231,631.1534,166.5419,576.8365,1.0000
